"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2016-05-16","2016-06-04","2016-07-03","2016-05-06","2016-05-25","2016-06-25","2016-05-28","2016-06-16","2016-07-09",0.64368,0.67663,0.73372,0.62206,0.84456
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2017-05-06","2017-05-19","2017-06-09","2017-04-19","2017-05-15","2017-06-03","2017-05-15","2017-05-25","2017-06-15",0.64997,0.68905,0.76648,0.62135,0.90868
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2018-04-13","2018-05-02","2018-05-20","2018-03-22","2018-04-21","2018-05-12","2018-04-26","2018-05-09","2018-07-14",0.66052,0.68872,0.73948,0.64101,0.83635
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2018-12-21","2018-12-06","2018-11-12","2018-12-30","2018-12-16","2018-11-22","2018-12-10","2018-11-25","2018-11-02",0.74132,0.76994,0.82053,0.72276,0.91751
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2017-11-24","2017-11-13","2017-10-30","2017-12-05","2017-11-22","2017-11-22","2017-11-17","2017-07-22","2017-07-22",0.76028,0.80407,0.88292,0.73225,1.03291
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2016-11-01","2016-10-25","2016-10-15","2016-11-05","2016-10-29","2016-10-19","2016-10-27","2016-10-21","2016-10-12",0.74133,0.77856,0.84346,0.71983,0.95956
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2016-01-30","2016-01-25","2016-01-17","2016-02-04","2016-01-29","2016-01-21","2016-01-25","2016-01-20","2016-01-12",0.71104,0.73519,0.77988,0.69871,0.85747
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2018-12-17","2018-12-03","2018-11-12","2018-12-27","2018-12-12","2018-11-21","2018-12-07","2018-11-24","2018-11-03",0.70015,0.73086,0.78313,0.67981,0.88495
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2017-11-18","2017-11-11","2017-11-01","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.69614,0.73652,0.80938,0.6697,0.94202
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2016-11-02","2016-10-27","2016-10-16","2016-11-06","2016-10-31","2016-10-20","2016-10-28","2016-10-22","2016-10-13",0.69284,0.72515,0.78573,0.6734,0.89265
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2016-01-30","2016-01-26","2016-01-17","2016-02-04","2016-01-30","2016-01-22","2016-01-25","2016-01-21","2016-01-12",0.66433,0.68287,0.72818,0.65012,0.79967
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2018-12-20","2018-12-06","2018-11-16","2019-01-01","2018-12-13","2018-11-23","2018-12-11","2018-11-28","2018-11-10",0.64411,0.67656,0.7363,0.62351,0.84449
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2017-11-17","2017-11-09","2017-10-28","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.64305,0.68287,0.75724,0.61957,0.89443
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2016-11-03","2016-10-27","2016-10-15","2016-11-07","2016-10-31","2016-10-19","2016-10-30","2016-10-22","2016-10-12",0.64728,0.68097,0.74254,0.62758,0.84955
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2018-12-14","2018-12-02","2018-11-12","2018-12-23","2018-12-10","2018-11-21","2018-12-05","2018-11-24","2018-11-05",0.65809,0.68694,0.7399,0.6391,0.83684
