"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"rising","grvi_mean","2016-05-13","2016-05-29","2016-07-01","2016-05-01","2016-05-15","2016-06-13","2016-05-28","2016-06-16","2016-07-09",0.00548,0.00989,0.01797,0.00252,0.03265
"austincary","US-SP1","EN",1000,"rising","grvi_mean","2017-04-25","2017-05-15","2017-06-01","2017-02-26","2017-05-07","2017-05-24","2017-05-10","2017-05-21","2017-06-09",0.00881,0.01585,0.02795,0.00414,0.05136
"austincary","US-SP1","EN",1000,"rising","grvi_mean","2018-04-11","2018-04-27","2018-05-12","2018-02-26","2018-04-13","2018-05-05","2018-04-26","2018-05-07","2018-05-18",0.01705,0.02136,0.02916,0.01416,0.04341
"austincary","US-SP1","EN",1000,"falling","grvi_90","2018-12-22","2018-11-27","2018-10-24","2019-03-22","2019-03-15","2018-11-20","2018-11-13","2018-10-28","2018-10-08",0.04385,0.04772,0.0543,0.04141,0.0667
"austincary","US-SP1","EN",1000,"falling","grvi_90","2017-11-21","2017-11-07","2017-10-18","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.04015,0.0486,0.06423,0.03427,0.09365
"austincary","US-SP1","EN",1000,"falling","grvi_90","2016-10-27","2016-10-20","2016-10-11","2016-11-02","2016-10-27","2016-10-17","2016-10-20","2016-10-15","2016-10-06",0.02669,0.03275,0.04313,0.02371,0.06032
"austincary","US-SP1","EN",1000,"falling","grvi_75","2017-11-15","2017-11-08","2017-10-28","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.01928,0.0262,0.04085,0.01473,0.06498
"austincary","US-SP1","EN",1000,"falling","grvi_75","2016-10-25","2016-10-20","2016-10-11","2016-10-30","2016-10-24","2016-10-16","2016-10-20","2016-10-15","2016-10-07",0.01515,0.01934,0.02887,0.01211,0.04406
"austincary","US-SP1","EN",1000,"falling","grvi_50","2017-11-13","2017-11-03","2017-10-24","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.00608,0.01418,0.02819,0.00149,0.05394
"austincary","US-SP1","EN",1000,"falling","grvi_50","2016-10-25","2016-10-19","2016-10-10","2016-10-31","2016-10-24","2016-10-15","2016-10-19","2016-10-14","2016-10-06",0.00237,0.00724,0.01638,-4e-04,0.0313
"austincary","US-SP1","EN",1000,"falling","grvi_mean","2017-11-18","2017-11-10","2017-10-30","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.0076,0.01505,0.02882,0.00342,0.05183
"austincary","US-SP1","EN",1000,"falling","grvi_mean","2016-10-25","2016-10-19","2016-10-10","2016-10-30","2016-10-23","2016-10-15","2016-10-19","2016-10-15","2016-10-06",0.00297,0.00794,0.01717,1e-04,0.03282
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2016-05-11","2016-06-01","2016-06-30","2016-05-10","2016-05-31","2016-06-29","2016-05-13","2016-06-02","2016-07-01",54.56671,57.59095,62.63302,52.72641,72.40442
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2017-04-14","2017-05-11","2017-06-06","2017-04-13","2017-05-10","2017-06-05","2017-04-16","2017-05-12","2017-06-07",52.04169,55.19866,60.54901,50.11484,70.92023
"austincary","US-SP1","EN",1000,"rising","nuExG_90","2018-04-05","2018-04-30","2018-07-28","2018-04-04","2018-04-29","2018-07-27","2018-04-06","2018-05-01","2018-07-29",50.64076,53.20767,57.75991,49.06344,65.86245
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2016-05-10","2016-05-30","2016-07-01","2016-05-09","2016-05-29","2016-06-30","2016-05-11","2016-06-01","2016-07-02",51.92921,54.77216,59.77563,50.13139,69.25076
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2017-04-17","2017-05-14","2017-06-12","2017-04-16","2017-05-13","2017-06-11","2017-04-18","2017-05-15","2017-06-13",49.30772,52.75677,58.84426,47.04315,70.26366
"austincary","US-SP1","EN",1000,"rising","nuExG_75","2018-04-07","2018-07-08","2018-07-28","2018-04-06","2018-07-07","2018-07-27","2018-04-08","2018-07-09","2018-07-29",47.06383,49.56616,53.90386,45.53091,61.99082
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2016-05-13","2016-06-02","2016-07-01","2016-05-12","2016-06-01","2016-06-30","2016-05-14","2016-06-03","2016-07-02",47.71244,50.46246,55.1557,45.92774,64.27307
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2017-04-15","2017-05-11","2017-06-06","2017-04-14","2017-05-10","2017-06-05","2017-04-17","2017-05-12","2017-06-07",44.42801,47.31863,51.97252,42.73042,61.12082
"austincary","US-SP1","EN",1000,"rising","nuExG_50","2018-07-17","2018-07-26","2018-08-06","2018-07-16","2018-07-25","2018-08-05","2018-07-18","2018-07-27","2018-08-07",43.06364,45.05497,48.98698,41.75961,55.90072
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2016-05-21","2016-06-12","2016-07-09","2016-05-20","2016-06-11","2016-07-07","2016-05-22","2016-06-13","2016-07-10",46.07634,48.74011,53.58707,44.29035,62.42776
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2017-04-19","2017-05-20","2017-06-18","2017-04-18","2017-05-19","2017-06-17","2017-04-21","2017-05-21","2017-06-19",43.22727,46.23304,51.18204,41.35993,60.95413
"austincary","US-SP1","EN",1000,"rising","nuExG_mean","2018-07-17","2018-07-26","2018-08-06","2018-07-16","2018-07-25","2018-08-05","2018-07-18","2018-07-27","2018-08-07",41.21544,43.49484,47.46594,39.8737,54.49703
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2018-11-23","2018-11-15","2018-11-01","2018-11-24","2018-11-16","2018-11-02","2018-11-22","2018-11-14","2018-10-31",47.85962,51.02204,56.60914,45.98599,66.84067
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2017-11-12","2017-11-01","2017-10-14","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",49.57165,53.26443,59.33902,47.49572,71.05878
"austincary","US-SP1","EN",1000,"falling","nuExG_90","2016-11-12","2016-11-04","2016-10-21","2016-11-13","2016-11-05","2016-10-22","2016-11-11","2016-11-03","2016-10-20",52.22854,55.35786,61.66296,50.17413,72.54759
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2018-11-24","2018-11-15","2018-11-01","2018-11-25","2018-11-16","2018-11-02","2018-11-23","2018-11-14","2018-10-31",43.23906,46.59838,52.33356,41.39645,63.03598
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2017-11-13","2017-11-04","2017-10-13","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",47.3885,51.3428,58.08668,44.94964,70.54373
"austincary","US-SP1","EN",1000,"falling","nuExG_75","2016-11-14","2016-11-04","2016-10-21","2016-11-15","2016-11-05","2016-10-23","2016-11-13","2016-11-03","2016-10-20",49.70065,53.10747,58.97527,47.72979,69.40845
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2018-11-29","2018-11-21","2018-11-06","2018-11-30","2018-11-22","2018-11-07","2018-11-28","2018-11-20","2018-11-05",37.25716,40.36412,45.81413,35.19597,55.92069
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2017-11-14","2017-11-07","2017-10-17","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",42.87013,45.97842,51.24309,41.05655,61.10188
"austincary","US-SP1","EN",1000,"falling","nuExG_50","2016-11-13","2016-11-04","2016-10-21","2016-11-14","2016-11-05","2016-10-22","2016-11-12","2016-11-03","2016-10-20",46.21794,49.16427,54.77756,44.36165,64.61904
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2018-12-07","2018-11-27","2018-11-10","2018-12-08","2018-11-28","2018-11-11","2018-12-06","2018-11-26","2018-11-09",34.46419,37.69067,43.7952,32.49964,54.5232
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2017-11-17","2017-11-11","2017-10-29","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",41.13108,44.00043,50.007,38.99969,60.90725
"austincary","US-SP1","EN",1000,"falling","nuExG_mean","2016-11-15","2016-11-05","2016-10-22","2016-11-16","2016-11-06","2016-10-23","2016-11-14","2016-11-04","2016-10-21",44.14072,47.14327,52.78474,42.23103,62.74318
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2016-05-06","2016-05-17","2016-06-13","2016-04-29","2016-05-11","2016-06-02","2016-05-13","2016-05-26","2016-06-26",0.7312,0.76916,0.83228,0.70804,0.95461
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2017-05-13","2017-05-24","2017-06-15","2017-04-27","2017-05-20","2017-06-09","2017-05-19","2017-05-31","2017-06-21",0.74471,0.79051,0.87735,0.71437,1.03584
"austincary","US-SP1","EN",1000,"rising","exZavaz_90","2018-04-16","2018-05-05","2018-05-19","2018-03-07","2018-04-25","2018-05-12","2018-05-04","2018-05-12","2018-05-28",0.74618,0.7711,0.8226,0.72766,0.91387
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2016-05-18","2016-06-04","2016-07-03","2016-05-06","2016-05-25","2016-06-23","2016-05-29","2016-06-15","2016-07-10",0.68776,0.7211,0.78081,0.66515,0.89165
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2017-05-05","2017-05-19","2017-06-08","2017-04-18","2017-05-14","2017-06-02","2017-05-15","2017-05-25","2017-06-13",0.69201,0.73114,0.80631,0.66501,0.94574
"austincary","US-SP1","EN",1000,"rising","exZavaz_75","2018-04-11","2018-05-01","2018-05-18","2018-03-20","2018-04-18","2018-05-11","2018-04-26","2018-05-09","2018-05-30",0.70299,0.73287,0.78518,0.68338,0.88268
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2016-05-23","2016-06-07","2016-07-05","2016-05-13","2016-05-30","2016-06-26","2016-06-01","2016-06-17","2016-07-11",0.64269,0.67642,0.7375,0.62061,0.84869
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2017-04-29","2017-05-16","2017-06-05","2017-04-15","2017-05-10","2017-05-28","2017-05-10","2017-05-22","2017-06-11",0.65122,0.69039,0.76029,0.62515,0.891
"austincary","US-SP1","EN",1000,"rising","exZavaz_50","2018-04-16","2018-05-02","2018-05-20","2018-04-04","2018-04-23","2018-05-12","2018-04-26","2018-05-09","2018-07-12",0.66613,0.69635,0.74731,0.64751,0.84494
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2016-05-16","2016-06-04","2016-07-03","2016-05-07","2016-05-25","2016-06-25","2016-05-28","2016-06-16","2016-07-09",0.64368,0.67663,0.73372,0.62254,0.84456
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2017-05-06","2017-05-19","2017-06-09","2017-04-19","2017-05-15","2017-06-03","2017-05-15","2017-05-25","2017-06-15",0.64997,0.68905,0.76648,0.62146,0.90868
"austincary","US-SP1","EN",1000,"rising","exZavaz_mean","2018-04-13","2018-05-02","2018-05-20","2018-03-25","2018-04-22","2018-05-12","2018-04-27","2018-05-10","2018-07-14",0.66052,0.68872,0.73948,0.64196,0.83635
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2018-12-21","2018-12-05","2018-11-11","2018-12-30","2018-12-16","2018-11-22","2018-12-09","2018-11-25","2018-11-02",0.74132,0.77189,0.82265,0.72388,0.91751
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2017-11-23","2017-11-13","2017-10-29","2017-12-04","2017-11-22","2017-11-22","2017-11-17","2017-07-22","2017-07-22",0.76324,0.80407,0.88861,0.73377,1.03291
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2016-11-01","2016-10-25","2016-10-15","2016-11-05","2016-10-29","2016-10-19","2016-10-27","2016-10-21","2016-10-12",0.74133,0.77856,0.84346,0.7201,0.95956
"austincary","US-SP1","EN",1000,"falling","exZavaz_90","2016-02-01","2016-01-27","2016-01-17","2016-02-06","2016-01-31","2016-01-23","2016-01-26","2016-01-21","2016-01-11",0.71497,0.73653,0.78058,0.70369,0.85073
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2018-12-17","2018-12-03","2018-11-12","2018-12-26","2018-12-12","2018-11-21","2018-12-07","2018-11-24","2018-11-03",0.70015,0.73086,0.78313,0.68101,0.88495
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2017-11-18","2017-11-11","2017-11-01","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.69614,0.73652,0.80938,0.67013,0.94202
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2016-11-02","2016-10-27","2016-10-16","2016-11-06","2016-10-31","2016-10-20","2016-10-28","2016-10-22","2016-10-13",0.69284,0.72515,0.78573,0.67333,0.89265
"austincary","US-SP1","EN",1000,"falling","exZavaz_75","2016-02-04","2016-01-30","2016-01-20","2016-02-12","2016-02-03","2016-01-26","2016-01-29","2016-01-24","2016-01-13",0.6576,0.67716,0.71895,0.64448,0.79168
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2018-12-20","2018-12-05","2018-11-16","2018-12-31","2018-12-13","2018-11-23","2018-12-11","2018-11-28","2018-11-10",0.64411,0.6791,0.7363,0.62415,0.84449
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2017-11-17","2017-11-09","2017-10-28","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.64305,0.68287,0.75724,0.6196,0.89443
"austincary","US-SP1","EN",1000,"falling","exZavaz_50","2016-11-03","2016-10-27","2016-10-15","2016-11-07","2016-10-31","2016-10-19","2016-10-30","2016-10-22","2016-10-12",0.64728,0.68097,0.74254,0.62758,0.84955
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2018-12-14","2018-12-02","2018-11-12","2018-12-23","2018-12-09","2018-11-21","2018-12-04","2018-11-24","2018-11-05",0.65809,0.68694,0.7399,0.64018,0.83684
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2017-11-19","2017-11-11","2017-11-01","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",0.64605,0.69088,0.76343,0.61894,0.90719
"austincary","US-SP1","EN",1000,"falling","exZavaz_mean","2016-11-02","2016-10-27","2016-10-15","2016-11-06","2016-10-30","2016-10-19","2016-10-29","2016-10-22","2016-10-13",0.63989,0.67053,0.73698,0.6176,0.84593
"austincary","US-SP1","EN",1000,"rising","exG_90","2016-05-09","2016-05-26","2016-06-24","2016-05-08","2016-05-25","2016-06-23","2016-05-10","2016-05-27","2016-06-25",57.68664,59.53543,62.83441,56.50485,69.03925
"austincary","US-SP1","EN",1000,"rising","exG_90","2017-05-02","2017-05-19","2017-06-09","2017-05-01","2017-05-18","2017-06-08","2017-05-04","2017-05-20","2017-06-10",56.57282,58.54498,62.06774,55.29196,68.8332
"austincary","US-SP1","EN",1000,"rising","exG_90","2018-04-10","2018-05-05","2018-07-07","2018-04-09","2018-05-04","2018-07-06","2018-04-11","2018-05-06","2018-07-08",55.75139,57.39211,60.2207,54.6666,65.68453
"austincary","US-SP1","EN",1000,"rising","exG_75","2016-05-09","2016-05-29","2016-06-29","2016-05-08","2016-05-28","2016-06-28","2016-05-10","2016-05-30","2016-06-30",56.06763,57.94726,61.17804,54.84602,67.36618
"austincary","US-SP1","EN",1000,"rising","exG_75","2017-04-23","2017-05-15","2017-06-07","2017-04-22","2017-05-14","2017-06-06","2017-04-24","2017-05-16","2017-06-08",54.71064,56.69715,60.38177,53.32828,67.17558
"austincary","US-SP1","EN",1000,"rising","exG_75","2018-04-10","2018-05-03","2018-06-04","2018-04-09","2018-05-02","2018-06-03","2018-04-11","2018-05-04","2018-06-05",54.00055,55.59249,58.31792,52.93235,63.69219
"austincary","US-SP1","EN",1000,"rising","exG_50","2016-05-15","2016-06-01","2016-06-30","2016-05-14","2016-05-31","2016-06-29","2016-05-17","2016-06-02","2016-07-01",53.82029,55.70411,58.96616,52.65464,65.09498
"austincary","US-SP1","EN",1000,"rising","exG_50","2017-05-06","2017-05-21","2017-06-10","2017-05-05","2017-05-20","2017-06-08","2017-05-08","2017-05-22","2017-06-11",53.52144,55.38233,58.63417,52.38211,64.5381
"austincary","US-SP1","EN",1000,"rising","exG_50","2018-04-13","2018-05-05","2018-07-19","2018-04-12","2018-05-04","2018-07-18","2018-04-15","2018-05-06","2018-07-20",51.96981,53.4521,56.02623,51.05103,60.82751
"austincary","US-SP1","EN",1000,"rising","exG_mean","2016-05-19","2016-06-08","2016-07-06","2016-05-18","2016-06-07","2016-07-05","2016-05-20","2016-06-10","2016-07-07",53.58417,55.36065,58.50754,52.42713,64.48678
"austincary","US-SP1","EN",1000,"rising","exG_mean","2017-05-02","2017-05-21","2017-06-14","2017-05-01","2017-05-20","2017-06-13","2017-05-04","2017-05-22","2017-06-15",52.35473,54.25929,57.66386,51.0749,64.22064
"austincary","US-SP1","EN",1000,"rising","exG_mean","2018-05-04","2018-07-13","2018-07-30","2018-05-03","2018-07-12","2018-07-29","2018-05-06","2018-07-14","2018-07-31",52.52426,53.87569,56.25947,51.6959,60.68065
"austincary","US-SP1","EN",1000,"falling","exG_90","2018-11-25","2018-11-18","2018-11-03","2018-11-26","2018-11-19","2018-11-04","2018-11-24","2018-11-17","2018-11-02",55.75726,57.36358,60.42068,54.64271,65.89125
"austincary","US-SP1","EN",1000,"falling","exG_90","2017-11-14","2017-11-06","2017-10-21","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",56.1584,58.34606,61.99648,54.98063,68.65455
"austincary","US-SP1","EN",1000,"falling","exG_90","2016-11-08","2016-11-01","2016-10-19","2016-11-09","2016-11-02","2016-10-20","2016-11-07","2016-10-31","2016-10-18",57.67226,59.52363,62.99042,56.57061,69.28082
"austincary","US-SP1","EN",1000,"falling","exG_90","2016-02-19","2016-02-11","2016-01-31","2016-02-20","2016-02-12","2016-02-01","2016-02-18","2016-02-10","2016-01-30",56.85803,57.70298,59.21948,56.33376,61.88054
"austincary","US-SP1","EN",1000,"falling","exG_75","2018-11-27","2018-11-19","2018-11-04","2018-11-28","2018-11-20","2018-11-06","2018-11-26","2018-11-18","2018-11-03",54.01394,55.72002,58.69581,52.95951,64.05329
"austincary","US-SP1","EN",1000,"falling","exG_75","2017-11-17","2017-11-08","2017-10-21","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",54.83956,56.94201,60.53349,53.56446,67.25453
"austincary","US-SP1","EN",1000,"falling","exG_75","2016-11-09","2016-11-01","2016-10-19","2016-11-10","2016-11-02","2016-10-20","2016-11-08","2016-10-31","2016-10-18",56.3415,58.31867,61.59481,55.28518,67.62935
"austincary","US-SP1","EN",1000,"falling","exG_75","2016-02-11","2016-02-05","2016-01-28","2016-02-12","2016-02-06","2016-01-29","2016-02-10","2016-02-04","2016-01-27",55.21439,55.9857,57.38091,54.69863,59.91505
"austincary","US-SP1","EN",1000,"falling","exG_50","2018-12-01","2018-11-23","2018-11-08","2018-12-02","2018-11-24","2018-11-09","2018-11-29","2018-11-22","2018-11-07",51.48628,53.15309,56.05164,50.60904,61.2281
"austincary","US-SP1","EN",1000,"falling","exG_50","2017-11-18","2017-11-10","2017-10-27","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",53.11734,55.03526,58.26558,51.90802,64.56644
"austincary","US-SP1","EN",1000,"falling","exG_50","2016-11-14","2016-11-04","2016-10-21","2016-11-15","2016-11-05","2016-10-22","2016-11-12","2016-11-03","2016-10-20",54.26335,56.0808,59.41364,53.12654,65.36458
"austincary","US-SP1","EN",1000,"falling","exG_50","2016-02-06","2016-01-31","2016-01-21","2016-02-07","2016-02-01","2016-01-22","2016-02-05","2016-01-30","2016-01-20",52.7134,53.53153,55.02842,52.26143,57.78116
"austincary","US-SP1","EN",1000,"falling","exG_mean","2018-12-09","2018-11-29","2018-11-12","2018-12-10","2018-11-30","2018-11-13","2018-12-08","2018-11-28","2018-11-11",49.93061,51.58773,54.85819,48.77236,60.69717
"austincary","US-SP1","EN",1000,"falling","exG_mean","2017-11-20","2017-11-12","2017-11-01","2017-11-22","2017-11-22","2017-11-22","2017-07-22","2017-07-22","2017-07-22",52.30515,54.33377,57.90271,51.17952,64.14055
"austincary","US-SP1","EN",1000,"falling","exG_mean","2016-11-09","2016-11-02","2016-10-19","2016-11-10","2016-11-03","2016-10-20","2016-11-08","2016-11-01","2016-10-18",54.00338,55.57939,58.98495,52.83372,64.61684
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2012-03-19","2012-04-09","2012-05-04","2012-03-13","2012-04-04","2012-04-29","2012-03-26","2012-04-14","2012-05-08",0.33927,0.34649,0.35882,0.33465,0.38231
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2013-03-28","2013-04-16","2013-05-09","2013-03-21","2013-04-12","2013-05-05","2013-04-04","2013-04-20","2013-05-13",0.33396,0.34206,0.35589,0.32874,0.38277
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2014-04-01","2014-04-19","2014-05-14","2014-03-26","2014-04-16","2014-05-10","2014-04-07","2014-04-23","2014-05-18",0.33437,0.34305,0.35812,0.32855,0.38725
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2015-03-20","2015-04-10","2015-05-06","2015-03-14","2015-04-06","2015-05-02","2015-03-27","2015-04-15","2015-05-10",0.33537,0.34275,0.35617,0.3304,0.38143
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2016-03-24","2016-04-12","2016-05-05","2016-03-18","2016-04-09","2016-05-02","2016-03-30","2016-04-16","2016-05-09",0.33515,0.34362,0.3586,0.32933,0.38786
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2017-03-24","2017-04-13","2017-05-06","2017-03-09","2017-04-09","2017-05-02","2017-03-27","2017-04-17","2017-05-09",0.33578,0.34456,0.35984,0.33019,0.38885
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_90","2018-03-26","2018-04-13","2018-05-06","2018-03-20","2018-04-10","2018-05-02","2018-04-01","2018-04-17","2018-05-08",0.33724,0.34574,0.36173,0.33137,0.39074
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2012-03-17","2012-04-06","2012-05-01","2012-03-11","2012-04-01","2012-04-27","2012-03-24","2012-04-12","2012-05-05",0.33726,0.34363,0.35519,0.33285,0.37747
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2013-03-28","2013-04-16","2013-05-09","2013-03-21","2013-04-12","2013-05-04","2013-04-05","2013-04-20","2013-05-13",0.3321,0.33987,0.35325,0.32718,0.37858
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2014-03-31","2014-04-18","2014-05-13","2014-03-24","2014-04-15","2014-05-09","2014-04-06","2014-04-22","2014-05-17",0.33195,0.33999,0.35439,0.32656,0.38168
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2015-03-20","2015-04-10","2015-05-06","2015-03-14","2015-04-06","2015-05-01","2015-03-27","2015-04-15","2015-05-10",0.33364,0.34062,0.35313,0.32895,0.37669
"canadaOBS","CA-Obs","EN",1000,"rising","gcc_75","2016-03-23","2016-04-12","2016-05-05","2016-03-18","2016-04-08","2016-05-01","2016-03-30","2016-04-16","2016-05-08",0.33307,0.34159,0.35612,0.32781,0.38346
